year,ISO3,ADM0_ES,ADM0_PCODE,ADM1_ES,ADM1_PCODE,ADM2_ES,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,HND,Honduras,HN,Atlantida,HN01,Arizona,HN0108,13355,13034,26389,1350,1182,1275,1298,1208,1047,1100,983,792,666,575,510,425,307,234,172,231,1371,1264,1359,1344,1187,1107,924,846,730,540,497,472,438,288,261,163,243,2721,2446,2634,2642,2395,2154,2024,1829,1522,1206,1072,982,863,595,495,335,474
2024,HND,Honduras,HN,Atlantida,HN01,El Porvenir,HN0102,14704,14442,29146,1550,1377,1394,1359,1330,1258,1196,1169,866,716,611,581,401,272,245,137,242,1591,1414,1434,1419,1379,1374,1242,1078,760,610,528,459,382,316,173,122,161,3141,2791,2828,2778,2709,2632,2438,2247,1626,1326,1139,1040,783,588,418,259,403
2024,HND,Honduras,HN,Atlantida,HN01,Esparta,HN0103,10343,10698,21041,1051,947,960,1005,934,846,825,787,608,498,476,385,326,237,192,122,144,1010,1046,1037,986,1027,850,838,758,638,524,456,404,332,247,218,156,171,2061,1993,1997,1991,1961,1696,1663,1545,1246,1022,932,789,658,484,410,278,315
2024,HND,Honduras,HN,Atlantida,HN01,Jutiapa,HN0104,20024,19824,39848,2036,2068,2056,1925,1805,1676,1537,1356,1197,957,804,727,539,438,357,286,260,2089,1990,2039,1977,1795,1673,1481,1358,1109,1015,791,674,527,421,366,238,281,4125,4058,4095,3902,3600,3349,3018,2714,2306,1972,1595,1401,1066,859,723,524,541
2024,HND,Honduras,HN,Atlantida,HN01,La Ceiba,HN0101,125571,110647,236218,11715,11303,11172,11668,12155,11561,10633,9180,7919,6590,5343,4211,3420,2900,2149,1567,2085,11983,11542,11150,11951,11290,9940,8665,7306,6085,5151,4046,3182,2534,2018,1473,1051,1280,23698,22845,22322,23619,23445,21501,19298,16486,14004,11741,9389,7393,5954,4918,3622,2618,3365
2024,HND,Honduras,HN,Atlantida,HN01,La Masica,HN0105,17317,16626,33943,1745,1664,1771,1710,1560,1417,1390,1245,987,869,713,550,486,386,335,223,266,1839,1713,1831,1802,1622,1339,1202,1067,898,701,584,508,429,352,290,199,250,3584,3377,3602,3512,3182,2756,2592,2312,1885,1570,1297,1058,915,738,625,422,516
2024,HND,Honduras,HN,Atlantida,HN01,San Francisco,HN0106,8904,8499,17403,887,771,856,863,788,740,705,684,487,485,386,343,269,230,154,91,165,980,862,914,926,785,670,631,551,395,379,294,272,216,192,148,118,166,1867,1633,1770,1789,1573,1410,1336,1235,882,864,680,615,485,422,302,209,331
2024,HND,Honduras,HN,Atlantida,HN01,Tela,HN0107,56585,55048,111633,5197,5329,5170,5348,4862,4853,4372,4008,3444,2973,2464,2116,1855,1460,1149,874,1111,5604,5644,5627,5536,5137,4422,4139,3696,3072,2480,2241,1847,1569,1334,1044,767,889,10801,10973,10797,10884,9999,9275,8511,7704,6516,5453,4705,3963,3424,2794,2193,1641,2000
2024,HND,Honduras,HN,Choluteca,HN06,Apacilagua,HN0602,4404,4725,9129,373,408,389,363,293,312,298,331,302,281,198,205,164,154,126,95,112,349,406,415,393,413,414,375,345,249,286,219,210,166,171,108,87,119,722,814,804,756,706,726,673,676,551,567,417,415,330,325,234,182,231
2024,HND,Honduras,HN,Choluteca,HN06,Choluteca,HN0601,94279,82684,176963,8735,8354,8218,8792,9327,8837,7740,6526,5527,4883,4050,3422,2863,2351,1687,1225,1742,8751,8319,7912,8151,8468,8030,6860,5667,4363,3603,3190,2515,2122,1575,1203,790,1165,17486,16673,16130,16943,17795,16867,14600,12193,9890,8486,7240,5937,4985,3926,2890,2015,2907
