codDepto,codMun,codDeptoMun,Size,Activity,N
01,01,0101,MICROEMPRESA,C,1
01,01,0101,MICROEMPRESA,G,272
01,01,0101,MICROEMPRESA,I,48
01,01,0101,MICROEMPRESA,N,1
01,01,0101,MICROEMPRESA,R,54
01,01,0101,NO ESPECIFICADO,A,4
01,01,0101,NO ESPECIFICADO,B,1
01,01,0101,NO ESPECIFICADO,C,30
01,01,0101,NO ESPECIFICADO,D,1
01,01,0101,NO ESPECIFICADO,E,2
01,01,0101,NO ESPECIFICADO,F,11
01,01,0101,NO ESPECIFICADO,G,1265
01,01,0101,NO ESPECIFICADO,H,19
01,01,0101,NO ESPECIFICADO,I,174
01,01,0101,NO ESPECIFICADO,J,18
01,01,0101,NO ESPECIFICADO,K,51
01,01,0101,NO ESPECIFICADO,L,24
01,01,0101,NO ESPECIFICADO,M,8
01,01,0101,NO ESPECIFICADO,N,34
01,01,0101,NO ESPECIFICADO,O,3
01,01,0101,NO ESPECIFICADO,P,25
01,01,0101,NO ESPECIFICADO,Q,56
01,01,0101,NO ESPECIFICADO,R,52
01,01,0101,PEQUEÑA EMPRESA,R,4
01,02,0102,EMPRESA GRANDE,A,1
01,02,0102,EMPRESA GRANDE,C,1
01,02,0102,EMPRESA GRANDE,G,2
01,02,0102,MEDIANA EMPRESA,A,3
01,02,0102,MEDIANA EMPRESA,C,4
01,02,0102,MEDIANA EMPRESA,G,2
01,02,0102,MEDIANA EMPRESA,M,1
01,02,0102,MEDIANA EMPRESA,N,11
01,02,0102,MICROEMPRESA,A,7
01,02,0102,MICROEMPRESA,C,33
01,02,0102,MICROEMPRESA,F,10
01,02,0102,MICROEMPRESA,G,453
01,02,0102,MICROEMPRESA,I,116
01,02,0102,MICROEMPRESA,J,10
01,02,0102,MICROEMPRESA,K,2
01,02,0102,MICROEMPRESA,L,10
01,02,0102,MICROEMPRESA,M,8
01,02,0102,MICROEMPRESA,N,42
01,02,0102,MICROEMPRESA,P,3
01,02,0102,MICROEMPRESA,Q,5
01,02,0102,MICROEMPRESA,R,38
01,02,0102,PEQUEÑA EMPRESA,A,6
01,02,0102,PEQUEÑA EMPRESA,C,9
01,02,0102,PEQUEÑA EMPRESA,F,3
01,02,0102,PEQUEÑA EMPRESA,G,52
01,02,0102,PEQUEÑA EMPRESA,I,3
01,02,0102,PEQUEÑA EMPRESA,J,3
01,02,0102,PEQUEÑA EMPRESA,K,1
01,02,0102,PEQUEÑA EMPRESA,L,2
01,02,0102,PEQUEÑA EMPRESA,M,1
01,02,0102,PEQUEÑA EMPRESA,N,11
01,02,0102,PEQUEÑA EMPRESA,Q,2
01,02,0102,PEQUEÑA EMPRESA,R,2
01,03,0103,MEDIANA EMPRESA,D,1
01,03,0103,MICROEMPRESA,A,156
01,03,0103,MICROEMPRESA,C,55
01,03,0103,MICROEMPRESA,D,3
01,03,0103,MICROEMPRESA,F,4
01,03,0103,MICROEMPRESA,G,158
01,03,0103,MICROEMPRESA,H,32
01,03,0103,MICROEMPRESA,I,200
01,03,0103,MICROEMPRESA,J,10
01,03,0103,MICROEMPRESA,K,2
01,03,0103,MICROEMPRESA,N,31
01,03,0103,MICROEMPRESA,Q,8
01,03,0103,MICROEMPRESA,R,36
01,03,0103,PEQUEÑA EMPRESA,K,6
01,04,0104,MICROEMPRESA,F,1
01,04,0104,MICROEMPRESA,G,80
01,04,0104,MICROEMPRESA,I,19
01,04,0104,MICROEMPRESA,R,5
01,04,0104,NO ESPECIFICADO,C,4
01,04,0104,NO ESPECIFICADO,F,1
01,04,0104,NO ESPECIFICADO,G,154
01,04,0104,NO ESPECIFICADO,H,6
01,04,0104,NO ESPECIFICADO,I,24
01,04,0104,NO ESPECIFICADO,N,1
01,04,0104,NO ESPECIFICADO,P,1
01,04,0104,NO ESPECIFICADO,Q,9
01,04,0104,NO ESPECIFICADO,R,6
01,04,0104,PEQUEÑA EMPRESA,I,1
01,05,0105,MICROEMPRESA,C,2
01,05,0105,MICROEMPRESA,G,170
01,05,0105,MICROEMPRESA,I,9
01,05,0105,MICROEMPRESA,R,19
01,05,0105,NO ESPECIFICADO,A,2
01,05,0105,NO ESPECIFICADO,C,29
01,05,0105,NO ESPECIFICADO,F,5
01,05,0105,NO ESPECIFICADO,G,437
01,05,0105,NO ESPECIFICADO,H,15
01,05,0105,NO ESPECIFICADO,I,77
01,05,0105,NO ESPECIFICADO,J,8
01,05,0105,NO ESPECIFICADO,K,14
01,05,0105,NO ESPECIFICADO,L,1
01,05,0105,NO ESPECIFICADO,M,3
01,05,0105,NO ESPECIFICADO,N,1
01,05,0105,NO ESPECIFICADO,P,2
01,05,0105,NO ESPECIFICADO,Q,18
01,05,0105,NO ESPECIFICADO,R,13
01,05,0105,PEQUEÑA EMPRESA,R,1
01,06,0106,MEDIANA EMPRESA,A,5
01,06,0106,MEDIANA EMPRESA,G,4
01,06,0106,MICROEMPRESA,A,40
01,06,0106,MICROEMPRESA,C,21
01,06,0106,MICROEMPRESA,F,9
01,06,0106,MICROEMPRESA,G,249
01,06,0106,MICROEMPRESA,H,15
01,06,0106,MICROEMPRESA,I,61
01,06,0106,MICROEMPRESA,J,2
01,06,0106,MICROEMPRESA,K,5
01,06,0106,MICROEMPRESA,L,2
01,06,0106,MICROEMPRESA,N,20
01,06,0106,MICROEMPRESA,P,1
01,06,0106,MICROEMPRESA,Q,9
01,06,0106,MICROEMPRESA,R,23
01,06,0106,PEQUEÑA EMPRESA,A,20
01,06,0106,PEQUEÑA EMPRESA,C,8
01,06,0106,PEQUEÑA EMPRESA,G,49
01,06,0106,PEQUEÑA EMPRESA,I,10
01,06,0106,PEQUEÑA EMPRESA,J,2
01,06,0106,PEQUEÑA EMPRESA,L,1
01,06,0106,PEQUEÑA EMPRESA,N,1
01,06,0106,PEQUEÑA EMPRESA,Q,1
01,06,0106,PEQUEÑA EMPRESA,R,4
01,07,0107,EMPRESA GRANDE,A,3
01,07,0107,EMPRESA GRANDE,C,1
01,07,0107,EMPRESA GRANDE,D,1
01,07,0107,EMPRESA GRANDE,G,20
01,07,0107,EMPRESA GRANDE,I,2
