Year,codDeptoNac,codMunNac,codDepto,codMun,in_city,capital,sps,other_main,N,USD
2020,1,1,1,5,0,0,0,0,603,461753.08
2020,1,1,8,27,0,0,0,0,1,50
2020,1,1,3,18,0,0,0,0,120,94781.84
2020,1,1,14,16,0,0,0,0,4,560
2020,1,1,4,4,0,0,0,0,7,1258.33
2020,1,1,13,13,0,0,0,0,2,50
2020,1,1,10,7,0,0,0,0,4,3274.92
2020,1,1,4,10,0,0,0,0,1,2
2020,1,1,4,13,0,0,0,0,41,25835.12
2020,1,1,4,21,0,0,0,0,3,1500
2020,1,1,7,15,0,0,0,0,1,891
2020,1,1,4,5,0,0,0,0,1,775
2020,1,1,15,19,0,0,0,0,2,150
2020,1,1,5,6,0,0,0,0,371,365733.08
2020,1,1,7,2,0,0,0,0,5,523.11
2020,1,1,1,3,0,0,0,0,55,28356.07
2020,1,1,10,6,0,0,0,0,3,4858.92
2020,1,1,18,4,0,0,0,0,450,371893.72
2020,1,1,7,4,0,0,0,0,1,3369
2020,1,1,8,26,0,0,0,0,2,386.77
2020,1,1,2,8,0,0,0,0,345,285027.83
2020,1,1,5,3,0,0,0,0,56,74376.11
2020,1,1,5,9,0,0,0,0,16,10488.98
2020,1,1,8,6,0,0,0,0,23,13596.4
2020,1,1,5,1,0,0,1,0,18720,19179694.98
2020,1,1,14,13,0,0,0,0,17,18792.87
2020,1,1,11,1,0,0,0,1,1215,969008.81
2020,1,1,5,12,0,0,0,0,232,155779.87
2020,1,1,7,3,0,0,0,0,76,57715.99
2020,1,1,14,1,0,0,0,1,300,428716.78
2020,1,1,6,15,0,0,0,0,4,8734.06
2020,1,1,10,2,0,0,0,0,18,3951.88
2020,1,1,16,14,0,0,0,0,2,250
2020,1,1,18,7,0,0,0,0,556,373634.01
2020,1,1,14,7,0,0,0,0,1,20
2020,1,1,9,1,0,0,0,1,16,13048.19
2020,1,1,1,8,0,0,0,0,4,2340
2020,1,1,12,1,0,0,0,1,22,11847.26
2020,1,1,16,4,0,0,0,0,11,4074.43
2020,1,1,16,26,0,0,0,0,1,62
2020,1,1,18,6,0,0,0,0,40,46083.77
2020,1,1,7,1,0,0,0,1,60,69547.13
2020,1,1,16,18,0,0,0,0,41,27091.62
2020,1,1,3,13,0,0,0,0,2,2186
2020,1,1,5,10,0,0,0,0,69,45412.52
2020,1,1,6,7,0,0,0,0,7,6993.75
2020,1,1,3,1,0,0,0,1,339,525867.33
2020,1,1,2,5,0,0,0,0,497,420624.1
2020,1,1,18,1,0,0,0,1,118,97564.63
2020,1,1,8,2,0,0,0,0,10,2587.32
2020,1,1,8,24,0,0,0,0,18,11842.58
2020,1,1,2,3,0,0,0,0,22,6956.51
2020,1,1,6,6,0,0,0,0,2,1508.57
2020,1,1,17,2,0,0,0,0,3,1342.11
2020,1,1,12,8,0,0,0,0,9,3817.78
2020,1,1,16,1,0,0,0,1,70,40670.21
2020,1,1,16,13,0,0,0,0,2,200.74
2020,1,1,1,7,0,0,0,0,561,524764.79
2020,1,1,5,11,0,0,0,0,314,199832.68
2020,1,1,2,7,0,0,0,0,2,350
2020,1,1,1,4,0,0,0,0,370,156088.95
2020,1,1,15,3,0,0,0,0,60,30770.91
2020,1,1,5,2,0,0,0,0,434,337004.5
2020,1,1,17,9,0,0,0,0,31,16377.31
2020,1,1,2,10,0,0,0,0,103,44905.76
2020,1,1,12,12,0,0,0,0,1,3142.31
2020,1,1,6,1,0,0,0,1,181,181365.39
2020,1,1,10,3,0,0,0,0,2,348
2020,1,1,11,2,0,0,0,0,43,27569.82
2020,1,1,2,6,0,0,0,0,45,11924.67
